task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_split,suggested_difficulty,suggested_hint,suggested_max_steps,metadata_json
navi_bench/redfin/new_orleans_homes_search/1,"{""_target_"":""navi_bench.redfin.redfin_url_match.generate_task_config"",""url"":""https://www.redfin.com/city/14233/LA/New-Orleans"",""task"":""Look for properties for sale in New Orleans priced under $225,000."",""location"":""New Orleans, LA, United States"",""timezone"":""America/Chicago"",""gt_urls"": [[""https://www.redfin.com/city/14233/LA/New-Orleans/filter/max-price=225k""]]}",real,redfin,realestate,new_orleans_homes_search,train,easy,null,null,null
navi_bench/redfin/las_vegas_rentals_search/0,"{""_target_"":""navi_bench.redfin.redfin_url_match.generate_task_config"",""url"":""https://www.redfin.com/city/10201/NV/Las-Vegas/rentals"",""task"":""Find rental listings in Las Vegas priced under $1,000 per month."",""location"":""Las Vegas, NV, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"": [[""https://www.redfin.com/city/10201/NV/Las-Vegas/rentals/filter/max-price=1k""]]}",real,redfin,realestate,rental_search,train,easy,null,null,null
navi_bench/redfin/las_vegas_furnished_rentals/7,"{""_target_"":""navi_bench.redfin.redfin_url_match.generate_task_config"",""url"":""https://www.redfin.com/rentals"",""task"":""Search for furnished rentals in Las Vegas priced between $600 and $2,500."",""location"":""Las Vegas, NV, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"": [[""https://www.redfin.com/city/10201/NV/Las-Vegas/rentals/filter/min-price=600,max-price=2.5k,is-furnished""]]}",real,redfin,realestate,las_vegas_furnished_rentals,train,medium,null,null,null
navi_bench/redfin/oakland_rentals_search/0,"{""_target_"":""navi_bench.redfin.redfin_url_match.generate_task_config"",""url"":""https://www.redfin.com/city/13654/CA/Oakland/rentals"",""task"":""Find rentals in Oakland under $1,000 per month."",""location"":""Oakland, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"": [[""https://www.redfin.com/city/13654/CA/Oakland/rentals/filter/max-price=1k""]]}",real,redfin,realestate,oakland_rentals_search,train,easy,null,null,null
navi_bench/redfin/oakland_rentals_search/1,"{""_target_"":""navi_bench.redfin.redfin_url_match.generate_task_config"",""url"":""https://www.redfin.com/rentals"",""task"":""Look for Oakland rentals priced between $600 and $2,500 that include parking."",""location"":""Oakland, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"": [[""https://www.redfin.com/city/13654/CA/Oakland/rentals/filter/min-price=600,max-price=2.5k,has-parking""]]}",real,redfin,realestate,oakland_rentals_search,validation,medium,null,null,null
navi_bench/redfin/olympia_home_search/0,"{""_target_"":""navi_bench.redfin.redfin_url_match.generate_task_config"",""url"":""https://www.redfin.com/city/13223/WA/Olympia"",""task"":""Search for houses for sale in Olympia between 1,600 and 2,000 square feet."",""location"":""Olympia, WA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"": [[""https://www.redfin.com/city/13223/WA/Olympia/filter/property-type=house,min-sqft=1.6k-sqft,max-sqft=2k-sqft""]]}",real,redfin,realestate,olympia_home_search,train,medium,null,null,null
navi_bench/redfin/olympia_homes_search/1,"{""_target_"":""navi_bench.redfin.redfin_url_match.generate_task_config"",""url"":""https://www.redfin.com/city/13223/WA/Olympia"",""task"":""Find houses for sale in Olympia priced under $225,000."",""location"":""Olympia, WA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"": [[""https://www.redfin.com/city/13223/WA/Olympia/filter/property-type=house,max-price=225k""]]}",real,redfin,realestate,olympia_homes_search,train,easy,null,null,null
navi_bench/redfin/detroit_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for houses or condos for sale in Detroit priced under $300,000 with minimum 2 and maximum 3 bedrooms."", ""location"": ""Detroit, MI, United States"", ""timezone"": ""America/Detroit"", ""gt_urls"": [[""https://www.redfin.com/city/5665/MI/Detroit/filter/property-type=house+condo,max-price=300k,min-beds=2,max-beds=3"",""https://www.redfin.com/city/5665/MI/Detroit/filter/property-type=condo,max-price=300k,min-beds=2,max-beds=3"",""https://www.redfin.com/city/5665/MI/Detroit/filter/property-type=house,max-price=300k,min-beds=2,max-beds=3""]]}",real,redfin,realestate,detroit_property_search,train,hard,null,null,null
navi_bench/redfin/detroit_property_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find homes for sale in Detroit with finished or unfinished basements and minimum 3 and maximum 4 bedrooms."", ""location"": ""Detroit, MI, United States"", ""timezone"": ""America/Detroit"", ""gt_urls"": [[""https://www.redfin.com/city/5665/MI/Detroit/filter/min-beds=3,max-beds=4,basement-type=finished+unfinished"",""https://www.redfin.com/city/5665/MI/Detroit/filter/min-beds=3,max-beds=4,basement-type=finished"",""https://www.redfin.com/city/5665/MI/Detroit/filter/min-beds=3,max-beds=4,basement-type=unfinished""]]}",real,redfin,realestate,detroit_property_search,train,hard,null,null,null
navi_bench/redfin/detroit_rental_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Look for rental properties in Detroit under $1,200 with at minimum 1 and maximum 3 bedroom and air conditioning."", ""location"": ""Detroit, MI, United States"", ""timezone"": ""America/Detroit"", ""gt_urls"": [[""https://www.redfin.com/city/5665/MI/Detroit/rentals/filter/max-price=1.2k,min-beds=1,max-beds=3,air-conditioning""]]}",real,redfin,realestate,detroit_rental_search,train,hard,null,null,null
